text,label
"Hi team, reminder to submit your product by end of day Thursday for this cycle.",0
"Hi team, reminder to submit your client by end of day next week for this cycle.",0
"hey just wrapped up the quarterly call, they want us to push the deadline by a week, ill send the updated timeline tmrw",0
"Dear User, unusual sign-in activity has been detected on your account. Please confirm your identity within 24 hours to avoid a lock: confirm-details-now.info",1
"Dear Candidate, we were impressed with your profile and would like to move forward. Please complete onboarding and submit ID verification within 3 days: account-check-fast.net",1
"hey its Priya from hr, quick one, benefits form needs updating before your next payment, just fill this real quick: verify-quick.com/action",1
"hey saw some weird activity on ur student account, might wanna verify ur login within 3 days before it gets locked: reset-account-secure.info",1
"Dear Team Member, our delivery partner has detected a policy violation on your workstation. Please verify your credentials within 3 days to avoid suspension: portal-secure-access.net",1
"hey Sam out sick today, can someone cover the vendor standup",0
"Dear Customer, our courier attempted delivery but could not access your address. Please settle the redelivery fee of $4.50 by end of day: account-check-fast.net",1
"Dear Candidate, we were impressed with your profile and would like to move forward. Please complete onboarding and submit ID verification by end of day: portal-secure-access.net",1
"Hi team, as part of this month's payroll reconciliation, please confirm your banking details through the linked form immediately. claim-now-fast.com",1
"Following up on last week's invoice, our accounts team flagged a mismatch. Could you confirm the correct details before your next payment via this form? claim-now-fast.com",1
"hey its Lena from IT, we're migrating everyone to the new system, just need u to confirm ur login here within 48 hours so we dont lock u out: claim-now-fast.com",1
"hey its been a while! saw ur resume online, we have an opening that matches perfectly, just fill this quick form by end of day: reset-account-secure.info",1
"As part of our transition to new infrastructure, please verify your account access by tomorrow using the link below. account-check-fast.net",1
"Hi team, as part of this month's payroll reconciliation, please confirm your banking details through the linked form within 48 hours. confirm-details-now.info",1
"Hi Emily, per our earlier conversation, please pick up gift cards for the client appreciation event by tomorrow and share the codes for the file.",1
"hey its me, stuck in a meeting rn, can u send $12.00 to this account for me real quick, will explain later, kinda urgent, need it before friday",1
"hey ur card got flagged for some sus activity, can u just confirm the card number here within 24 hours so we can sort it: claim-now-fast.com",1
"heyy saw ur profile, we're offering a paid virtual internship, just fill this form to lock in ur spot within 24 hours: claim-now-fast.com",1
"Dear Customer, our courier attempted delivery but could not access your address. Please settle the redelivery fee of a small fee by end of day: claim-now-fast.com",1
"Following up on last week's invoice, our accounts team flagged a mismatch. Could you confirm the correct details within 48 hours via this form? portal-secure-access.net",1
"hey hows the sprint coming along, need it by Tuesday if possible",0
"Dear All, the logistics meeting has been rescheduled to next Thursday at 10am. Calendar invite to follow.",0
"Dear Applicant, congratulations on being shortlisted for our Internship Program! Please complete the enrollment form and submit the registration fee within 3 days: confirm-details-now.info",1
"ur package couldnt be delivered today, pls confirm ur address and pay $25 here before friday: claim-now-fast.com",1
"hey hows the engineering coming along, need it by Friday if possible",0
"hey good catch on that vendor issue, fixed it and pushed the update, lmk if u see anything else weird",0
"As part of Finance's annual review, please complete your enrollment within 24 hours to continue coverage. account-check-fast.net",1
"Dear Customer, our courier attempted delivery but could not access your address. Please settle the redelivery fee of $4.50 within 48 hours: secure-update-portal.com",1
"Hi, thanks for your patience while we resolved the onboarding delay. Everything should be sorted by Wednesday.",0
This is the security team's fraud prevention team. Please verify your account details before your next payment to avoid a temporary hold: portal-secure-access.net,1
"heyy quick favor, can u buy a few gift cards for a client meeting today, ill pay u back later, need it by tomorrow, send the codes when u get them",1
We are pleased to inform you that you have been selected for our Skill Development Program with the security team. Kindly complete registration within 24 hours: claim-now-fast.com,1
"Dear Customer, your subscription payment failed to process. To avoid service interruption, please update your billing information by end of day: account-check-fast.net",1
"hey ur card got flagged for some sus activity, can u just confirm the card number here before your next payment so we can sort it: portal-secure-access.net",1
"quick q, are we still doing the budget review on Thursday or did that move",0
"heyy quick favor, can u buy a few gift cards for a client meeting today, ill pay u back later, need it before your next payment, send the codes when u get them",1
"quick q, are we still doing the vendor review on Monday or did that move",0
We were unable to process your latest subscription payment. Please update your billing details within 3 days to avoid interruption: reset-account-secure.info,1
"yo the invoice bounced back, can u just resend ur bank details here so i can push the payment thru within 3 days: account-check-fast.net",1
